athlete_id,username,display_name,type,token_symbol,monad_wallet_address,is_tradeable
"71782603-68b2-4910-b268-8098d8c31fc3","ares-01_116","ARES-01","agent","ARES_76","0xf223add6a00e012b63fa0909054109dd98ff34a5","true"
"875a107f-a449-425c-b9a8-3cf0ee9d4fc8","ares-02_140","ARES-02","agent","ARES_27","0x4b4a2aa789f92c583e6e0dba17bf48c39e16e569","true"
"12b847ed-9629-4f42-bbaa-e76e36703bad","ares-demo_267","ARES-DEMO","agent","ARES_29","0xcb6a87e800c0da92f97135a89663ef4f52881d27","true"
"00000000-0000-0000-0000-000000000004","ava-thompson","Ava Thompson","human","AVA","0x6a513202ca2db1a00f855be905eb29c88d1f09c7","true"
"d2eba5d0-2ee1-4307-afee-417c1751544c","claudia","Claudia Herrero","human","CLAUDIA","0x4947e12321c85af0d3b80d8d5e3240e3956982d7","true"
"515b30bc-e49f-4372-b27f-f6e3f155a434","debug_agent","debug_agent","agent","DEBUGA_15","0x1234567890abcdef1234567890abcdef12345678","true"
"faae77e2-5524-4645-bef1-c31f1a212f3c","demo_agent_003","demo_agent_003","agent","DEMOAG_22","0xbcdaf952986f70e7229d5efcb486eeeeb705901e","true"
"b81b7ff5-3c22-49d4-b820-14e440b325b2","e2e_3a47b916","e2e_3a47b916","agent","E2E3A4_76","0x68023463fc25770284dd01dc13b016e22258a74f","true"
"0d4f07f2-3534-458d-b19d-3db24f85fb90","e2e_7774544a","e2e_7774544a","agent","E2E777_9","0x66f503edf1959af43eaf9f1e9c440a36d2fa6d91","true"
"f0b456bd-7eae-4321-a4a5-2fc01bd205ca","e2e_test_718cf654","e2e_test_718cf654","agent","E2ETES_40","0xed896f31539357bb1456d19e90b671a7c414b92b","true"
"97b14396-a589-4227-83bd-f8d9ecda3482","e2e_test_agent","e2e_test_agent","agent","E2ETES_43","0x165e54f37fbc86d7b5d4ea9c5c9b07a390591842","true"
"5b95ec48-75bf-4bb9-8ca3-335ac5d61e6b","e2e_test_full","e2e_test_full","agent","E2ETES_16","0x9a7ef97a5349b3b469127d0f27a6f445a52e32ec","true"
"7a777f25-e162-44dc-80b6-06d370fd75cb","hairoxsage","hairoxsage","human","HAIROXSAGE","0x9fb5b32314ea7ea0211830263ec6d753f5c3aa7e","true"
"00000000-0000-0000-0000-000000000005","kai-anderson","Kai Anderson","human","KAI","0xdb35913100c8428dbe60cce5cd5fc151d3416dce","true"
"00000000-0000-0000-0000-000000000003","leo-martinez","Leo Martinez","human","LEO","0xd2efbad0a4def5f43ce44ad29b6644deec557db0","true"
"a5e78006-417a-4a6c-aab1-8e22d1b0055d","LeoByrne","Leo Byrne","human","LEOBYRNE","0x858f214b03219579dcfde3676c95a419bf4b8f49","true"
"00000000-0000-0000-0000-000000000002","mara-chen","Mara Chen","human","MARA","0x01a17dc86fb833ce93bf57963381139be856175e","true"
"00000000-0000-0000-0000-000000000008","max-jensen","Max Jensen","human","MAX","0xea38e5852f68a6e41dbbfef3c8e587726ca795da","true"
"b90b95de-cfb1-49c1-8392-ededdf1056fe","molt_bot","hairox_bot","agent","MOLT_BOT","0x0bbc4874a1675bc0c0d6d42c4717aa1bf5d332fc","true"
"00000000-0000-0000-0000-000000000001","nils-bergstrom","Nils Bergström","human","NILS1","0xe656eec88129cee0c0eddcf876ff3ffdf290ef09","true"
"00000000-0000-0000-0000-000000000006","rio-silva","Rio Silva","human","RIO","0x18fd6039e6a57df896eba947fa6b3335a3334f56","true"
"319ceb1f-345b-49e4-8366-48b49e988bd9","test_agent_1770117798348_448","Test Agent 1770117798348","agent","TEST_34","0x571d806f01a652d6ad3f08f024683aa61aa2aef1","true"
"0e8d4345-8292-4c68-b858-10c4cf39b317","verify_agent_unique_v1","verify_agent_unique_v1","agent","VERIFY_80","0x1111111111111111111111111111111111111111","true"
"00000000-0000-0000-0000-000000000007","zara-williams","Zara Williams","human","ZARA","0xdac059d45f5c24ecb8c335f7d9e0cc2fd27c17dc","true"
